Ilya Kutepov,Duško Tošić,Young-Gwon Kim,Simon Thorup Kjær,Faustino Marcos Alberto Rojo,Sergei Ignashevich,Salif Sané,Ragnar Sigurðsson,Hyun-Soo Jang,Manuel Marouan da Costa Trinidade,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Giancarlo González Castro,Kenneth Josiah Omeruo,William Troost-Ekong,Kalidou Koulibaly,Seyed Majid Hosseini,Ragnar Sigurðsson,Jan Vertonghen,Giancarlo González Castro
Ragnar Sigurðsson,Domagoj Vida,Jan Bednarek,João Miranda de Souza Filho,Román Aureliano Torres Morcillo,Mark Milligan,Fidel Escobar Mendieta,Román Aureliano Torres Morcillo,Andreas Christensen,Hyun-Soo Jang,Manuel Marouan da Costa Trinidade,Johnny Acosta Zamora,Ragnar Sigurðsson,Román Aureliano Torres Morcillo,Ahmed Hegazi,William Troost-Ekong,Diego Roberto Godín Leal,Nicolás Hernán Otamendi,Jan Bednarek,Fidel Escobar Mendieta
Hyun-Soo Jang,Diego Roberto Godín Leal,Kalidou Koulibaly,Morteza Pouraliganji,William Troost-Ekong,Ilya Kutepov,Young-Gwon Kim,Giancarlo González Castro,Román Aureliano Torres Morcillo,Johnny Acosta Zamora,Hyun-Soo Jang,Giancarlo González Castro,Domagoj Vida,Nikola Milenković,Salif Sané,Victor Nilsson Lindelöf,José María Giménez de Vargas,Kári Árnason,Victor Nilsson Lindelöf,Román Aureliano Torres Morcillo
Sergei Ignashevich,Dejan Lovren,Medhi Amine El Mouttaqi Benatia,Yerry Fernando Mina González,Ilya Kutepov,Héctor Alfredo Moreno Herrera,Thiago Emiliano da Silva,Andreas Christensen,Mark Milligan,Romain Saïss,Johnny Acosta Zamora,Román Aureliano Torres Morcillo,William Troost-Ekong,José Miguel da Rocha Fonte,Ilya Kutepov,José María Giménez de Vargas,Young-Gwon Kim,Medhi Amine El Mouttaqi Benatia,Davinson Sánchez Mina,Victor Nilsson Lindelöf
Johnny Acosta Zamora,Davinson Sánchez Mina,Romain Saïss,Héctor Alfredo Moreno Herrera,Kyle Walker,Jan Bednarek,Diego Roberto Godín Leal,João Miranda de Souza Filho,Yerry Fernando Mina González,Óscar Esau Duarte Gaitán,Romain Saïss,Seyed Majid Hosseini,Johnny Acosta Zamora,Andreas Christensen,Seyed Majid Hosseini,Manuel Marouan da Costa Trinidade,Maya Yoshida,José Miguel da Rocha Fonte,Ali Gabr,Johnny Acosta Zamora
Mathias Jattah-Njie Jørgensen,Christian Guillermo Martín Ramos Garagay,Vincent Kompany,Vincent Kompany,Yassine Meriah,Ali Gabr,Andreas Granqvist,Ali Gabr,Fabian Lukas Schär,Seyed Majid Hosseini,Seyed Majid Hosseini,Ilya Kutepov,Seyed Majid Hosseini,Domagoj Vida,Leon-Aderemi Balogun,Seyed Majid Hosseini,Sergei Ignashevich,Maya Yoshida,Leon-Aderemi Balogun,Ilya Kutepov
Young-Gwon Kim,Carlos Joel Salcedo Hernández,Mathias Jattah-Njie Jørgensen,Fidel Escobar Mendieta,Anga Dedryck Boyata,Medhi Amine El Mouttaqi Benatia,William Troost-Ekong,Yerry Fernando Mina González,Davinson Sánchez Mina,Hugo Ayala Castro,Hugo Ayala Castro,Fidel Escobar Mendieta,João Miranda de Souza Filho,Giancarlo González Castro,Morteza Pouraliganji,Morteza Pouraliganji,Ali Gabr,Domagoj Vida,Ilya Kutepov,Ali Gabr
Román Aureliano Torres Morcillo,Anga Dedryck Boyata,Mark Milligan,Leon-Aderemi Balogun,Hyun-Soo Jang,Thiago Emiliano da Silva,Morteza Pouraliganji,Anga Dedryck Boyata,Mathias Jattah-Njie Jørgensen,Mathias Jattah-Njie Jørgensen,Mathias Jattah-Njie Jørgensen,Sergei Ignashevich,Román Aureliano Torres Morcillo,João Miranda de Souza Filho,Sergei Ignashevich,Óscar Esau Duarte Gaitán,Morteza Pouraliganji,Ali Gabr,Sergei Ignashevich,Sergei Ignashevich
Kári Árnason,Andreas Granqvist,Hugo Ayala Castro,Seyed Majid Hosseini,Morteza Pouraliganji,Morteza Pouraliganji,Seyed Majid Hosseini,Fabian Lukas Schär,Anga Dedryck Boyata,Davinson Sánchez Mina,Kári Árnason,Kári Árnason,Anga Dedryck Boyata,Anga Dedryck Boyata,Kenneth Josiah Omeruo,Kenneth Josiah Omeruo,William Troost-Ekong,Kenneth Josiah Omeruo,Román Aureliano Torres Morcillo,Kári Árnason
Morteza Pouraliganji,Andreas Christensen,Ragnar Sigurðsson,Toby Alderweireld,Seyed Majid Hosseini,Giancarlo González Castro,Giancarlo González Castro,Kalidou Koulibaly,Leon-Aderemi Balogun,Ragnar Sigurðsson,Davinson Sánchez Mina,Ali Gabr,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Manuel Marouan da Costa Trinidade,Ragnar Sigurðsson,Kári Árnason,Osama Abdulrezag Hawsawi,Kenneth Josiah Omeruo,Morteza Pouraliganji
Seyed Majid Hosseini,Ali Gabr,Toby Alderweireld,Hugo Ayala Castro,Christian Guillermo Martín Ramos Garagay,Óscar Esau Duarte Gaitán,Manuel Marouan da Costa Trinidade,Morteza Pouraliganji,Morteza Pouraliganji,Yerry Fernando Mina González,Ragnar Sigurðsson,Morteza Pouraliganji,Yerry Fernando Mina González,Ali Gabr,Ragnar Sigurðsson,Kári Árnason,Davinson Sánchez Mina,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Ragnar Sigurðsson
Victor Nilsson Lindelöf,Ahmed Hegazi,Seyed Majid Hosseini,Ragnar Sigurðsson,Medhi Amine El Mouttaqi Benatia,Seyed Majid Hosseini,Óscar Esau Duarte Gaitán,José Miguel da Rocha Fonte,Hugo Ayala Castro,Kári Árnason,Yerry Fernando Mina González,Ragnar Sigurðsson,Ali Gabr,Morteza Pouraliganji,Kári Árnason,Leon-Aderemi Balogun,Ilya Kutepov,Leon-Aderemi Balogun,Seyed Majid Hosseini,Seyed Majid Hosseini
