Diego Roberto Godín Leal,Sergio Ramos García,Simon Thorup Kjær,Kléper Laveran Lima Ferreira,Osama Abdulrezag Hawsawi,Leon-Aderemi Balogun,Ragnar Sigurðsson,Harry Maguire,Ilya Kutepov,Maya Yoshida,Kalidou Koulibaly,Trent Sainsbury,Manuel Obafemi Akanji,Héctor Alfredo Moreno Herrera,Kyle Walker,Phil Jones,Nikola Milenković,Raphaël Varane,Toby Alderweireld,Fabian Lukas Schär
Romain Saïss,Sergei Ignashevich,Carlos Joel Salcedo Hernández,Kyle Walker,Mark Milligan,Manuel Obafemi Akanji,Trent Sainsbury,William Troost-Ekong,Giancarlo González Castro,Nikola Milenković,Maya Yoshida,Medhi Amine El Mouttaqi Benatia,Raphaël Varane,Christian Guillermo Martín Ramos Garagay,Nikola Milenković,Osama Abdulrezag Hawsawi,Mats Hummels,Mark Milligan,Thiago Emiliano da Silva,Vincent Kompany
José María Giménez de Vargas,Samuel Yves Umtiti,William Troost-Ekong,Domagoj Vida,Diego Roberto Godín Leal,Yerry Fernando Mina González,Christian Guillermo Martín Ramos Garagay,Simon Thorup Kjær,Duško Tošić,Harry Maguire,Ilya Kutepov,Maya Yoshida,Yassine Meriah,Manuel Obafemi Akanji,Manuel Obafemi Akanji,Mark Milligan,Victor Nilsson Lindelöf,Romain Saïss,Andreas Granqvist,Jan Bednarek
John Stones,Salif Sané,Sergio Ramos García,Duško Tošić,Ahmed Hegazi,Mathias Jattah-Njie Jørgensen,John Stones,Victor Nilsson Lindelöf,Salif Sané,Dejan Lovren,Nikola Milenković,Carlos Joel Salcedo Hernández,Manuel Marouan da Costa Trinidade,Toby Alderweireld,Toby Alderweireld,Andreas Christensen,Manuel Obafemi Akanji,Gerard Piqué Bernabéu,Samuel Yves Umtiti,Faustino Marcos Alberto Rojo
Thiago Emiliano da Silva,Román Aureliano Torres Morcillo,José María Giménez de Vargas,Mats Hummels,Young-Gwon Kim,Hugo Ayala Castro,Hyun-Soo Jang,Diego Roberto Godín Leal,Yassine Meriah,Young-Gwon Kim,Dejan Lovren,Vincent Kompany,Simon Thorup Kjær,Gerard Piqué Bernabéu,Gen Shōji,Samuel Yves Umtiti,Vincent Kompany,Faustino Marcos Alberto Rojo,Óscar Esau Duarte Gaitán,Trent Sainsbury
Maya Yoshida,Romain Saïss,Salif Sané,Andreas Christensen,Davinson Sánchez Mina,Duško Tošić,Davinson Sánchez Mina,Samuel Yves Umtiti,Samuel Yves Umtiti,Andreas Christensen,Trent Sainsbury,Harry Maguire,Duško Tošić,Nicolás Hernán Otamendi,Trent Sainsbury,Manuel Obafemi Akanji,Andreas Granqvist,Samuel Yves Umtiti,Yassine Meriah,Gen Shōji
Mark Milligan,Raphaël Varane,Hyun-Soo Jang,Salif Sané,Andreas Christensen,Kléper Laveran Lima Ferreira,Yerry Fernando Mina González,Gerard Piqué Bernabéu,Victor Nilsson Lindelöf,Anga Dedryck Boyata,Young-Gwon Kim,Gen Shōji,Mark Milligan,Carlos Joel Salcedo Hernández,Yassine Meriah,Diego Roberto Godín Leal,Simon Thorup Kjær,Simon Thorup Kjær,Yerry Fernando Mina González,Harry Maguire
Trent Sainsbury,Ragnar Sigurðsson,Kyle Walker,Ilya Kutepov,Hugo Ayala Castro,Fabian Lukas Schär,Andreas Christensen,Faustino Marcos Alberto Rojo,Medhi Amine El Mouttaqi Benatia,Ilya Kutepov,Andreas Christensen,Mats Hummels,Mats Hummels,Manuel Marouan da Costa Trinidade,Yerry Fernando Mina González,Dejan Lovren,Gerard Piqué Bernabéu,Thiago Emiliano da Silva,Ragnar Sigurðsson,Yassine Meriah
Hugo Ayala Castro,Phil Jones,Dejan Lovren,Dejan Lovren,John Stones,Román Aureliano Torres Morcillo,Ilya Kutepov,Romain Saïss,William Troost-Ekong,Fidel Escobar Mendieta,Mark Milligan,Christian Guillermo Martín Ramos Garagay,Héctor Alfredo Moreno Herrera,Raphaël Varane,Harry Maguire,Harry Maguire,Jan Vertonghen,Héctor Alfredo Moreno Herrera,Maya Yoshida,Thiago Emiliano da Silva
Phil Jones,Óscar Esau Duarte Gaitán,Ilya Kutepov,Manuel Marouan da Costa Trinidade,Phil Jones,Nicolás Hernán Otamendi,José María Giménez de Vargas,Kléper Laveran Lima Ferreira,Dejan Lovren,Medhi Amine El Mouttaqi Benatia,Anga Dedryck Boyata,Romain Saïss,Dejan Lovren,Diego Roberto Godín Leal,Faustino Marcos Alberto Rojo,Romain Saïss,Phil Jones,Kyle Walker,Trent Sainsbury,Medhi Amine El Mouttaqi Benatia
Jan Vertonghen,Osama Abdulrezag Hawsawi,Yerry Fernando Mina González,Jan Bednarek,Thiago Emiliano da Silva,Johnny Acosta Zamora,Ali Gabr,Salif Sané,Mats Hummels,Mats Hummels,Fidel Escobar Mendieta,Fabian Lukas Schär,Salif Sané,Gen Shōji,Jan Bednarek,José Miguel da Rocha Fonte,Gen Shōji,Gen Shōji,Andreas Christensen,Carlos Joel Salcedo Hernández
Fabian Lukas Schär,Nikola Milenković,Maya Yoshida,Osama Abdulrezag Hawsawi,Jan Vertonghen,Davinson Sánchez Mina,Sergio Ramos García,Sergio Ramos García,José María Giménez de Vargas,Domagoj Vida,Medhi Amine El Mouttaqi Benatia,Duško Tošić,Christian Guillermo Martín Ramos Garagay,William Troost-Ekong,Simon Thorup Kjær,Kyle Walker,João Miranda de Souza Filho,Sergio Ramos García,José María Giménez de Vargas,Jan Vertonghen
Anga Dedryck Boyata,Nicolás Hernán Otamendi,Diego Roberto Godín Leal,Gerard Piqué Bernabéu,Manuel Obafemi Akanji,Trent Sainsbury,Faustino Marcos Alberto Rojo,Seyed Majid Hosseini,Kyle Walker,Manuel Obafemi Akanji,Mats Hummels,Héctor Alfredo Moreno Herrera,Gen Shōji,Medhi Amine El Mouttaqi Benatia,Mathias Jattah-Njie Jørgensen,Gen Shōji,Duško Tošić,Manuel Obafemi Akanji,Hyun-Soo Jang,Simon Thorup Kjær
Harry Maguire,Morteza Pouraliganji,Fabian Lukas Schär,William Troost-Ekong,Fabian Lukas Schär,Nikola Milenković,Román Aureliano Torres Morcillo,Yassine Meriah,Osama Abdulrezag Hawsawi,Samuel Yves Umtiti,Samuel Yves Umtiti,Thiago Emiliano da Silva,Young-Gwon Kim,Kári Árnason,Samuel Yves Umtiti,Mathias Jattah-Njie Jørgensen,Harry Maguire,Jan Vertonghen,Fabian Lukas Schär,João Miranda de Souza Filho
Yassine Meriah,Medhi Amine El Mouttaqi Benatia,Mats Hummels,John Stones,Héctor Alfredo Moreno Herrera,José Miguel da Rocha Fonte,Kenneth Josiah Omeruo,Johnny Acosta Zamora,Manuel Marouan da Costa Trinidade,Trent Sainsbury,Domagoj Vida,Raphaël Varane,John Stones,Duško Tošić,Maya Yoshida,Nicolás Hernán Otamendi,Romain Saïss,Sergei Ignashevich,Carlos Joel Salcedo Hernández,Andreas Christensen
Davinson Sánchez Mina,Maya Yoshida,Morteza Pouraliganji,Giancarlo González Castro,Toby Alderweireld,Kenneth Josiah Omeruo,Phil Jones,Raphaël Varane,Kalidou Koulibaly,Raphaël Varane,Manuel Obafemi Akanji,Simon Thorup Kjær,Jan Bednarek,Sergio Ramos García,Dejan Lovren,Yassine Meriah,Hyun-Soo Jang,Toby Alderweireld,Raphaël Varane,Mats Hummels
